278.231	-40.059	6888
302.36	15.487	-233
57.109	-60.574	2913
82.265	-62.616	3280
332.54	-53.018	1952
347.562	-51.753	2039
2.685	-50.464	2013
17.88	-49.159	2740
171.09	29.916	-5564
63.822	-45.224	-3914
221.8	29.843	-743
110.83	-41.139	4919
272.895	29.755	2915
126.78	-39.76	3558
290.059	29.696	1322
142.76	-38.366	3580
307.226	29.658	-2784
158.74	-36.988	669
174.69	-35.622	-814
341.258	29.498	-6041
190.62	-34.261	661
358.15	29.416	-4533
206.56	-32.916	23
15	29.33	-3962
31.854	29.242	-1697
112.42	13.412	-224
162.96	16.528	-4046
348.141	22.556	-4486
280.057	23.187	3291
296.889	24.122	986
122.62	20.631	-3202
63.721	32.58	2181
112.88	36.485	-2602
123.01	37.224	-2973
308.031	16.259	-2662
133.25	37.943	-3175
233.89	45.59	208
20.289	42.098	-3737
186.24	-26.995	-461
49.159	41.496	595
215.63	-27.608	2361
58.8	41.313	-569
225.43	-27.799	1949
68.442	41.129	-1065
235.24	-28.011	3030
173.9	39.2	-5696
192.18	38.919	-5787
201.29	38.8	-5146
219.65	38.575	-963
257.23	38.303	6392
276.177	38.129	3383
323.088	37.917	-4043
18.203	37.69	-2805
27.336	37.684	-1598
45.588	37.687	820
91.212	37.642	-1709
137.28	37.782	-3832
164.51	37.827	-1831
317.295	38.612	-250
94.775	38.619	-1978
104.21	38.575	-2765
123.24	38.462	-3241
170.2	38.343	-5553
215.85	37.619	-4217
244.16	37.299	6807
253.73	37.174	6577
67.49	-38.146	-4524
18.916	35.036	-2857
300.756	27.481	614
310.674	27.141	-4105
320.596	26.815	-4007
19.68	24.831	-3057
107.47	21.632	-2180
147.72	20.187	-348
167.92	19.375	-5198
23.574	10.323	-1273
259.14	-0.28	8083
268.714	-0.741	6383
76.76	-8.249	3281
105.81	-9.579	3385
185.59	-13.013	-2029
195.84	-13.449	-3658
206.07	-13.856	-1904
216.19	-14.261	-86
245.77	-15.419	8569
255.38	-15.821	8902
264.951	-16.228	8415
293.727	-17.563	5583
303.455	-17.986	2350
43.772	-22.027	1324
64.118	-22.298	1504
84.008	-22.994	3507
103.63	-23.784	4130
25.071	-3.481	-875
29.564	40.198	-1618
358.011	-7.07	-4708
331.059	-10.381	-4106
141.29	-28.588	608
4.355	-38.658	-846
309.416	-42.301	2968
281.957	-44.025	4572
114.18	-53.46	3570
57.557	-56.215	1383
0.008	-58.882	4902
36.883	64.519	-3033
214.44	-64.294	2093
295.84	65.121	-605
184.49	-65.205	3540
270.261	65.223	-2377
94.483	-67.38	5113
64.159	-67.917	4543
275.45	-53.701	3878
277.645	-50.483	4412
289.533	-41.467	5447
291.467	-40.303	5511
295.516	-37.953	4274
168.08	64.368	-3817
297.624	-36.78	4576
299.768	-35.589	4311
175.4	64.372	-4023
182.79	64.388	-3877
308.538	-30.754	1105
190.2	64.417	-3603
36.421	-9.485	2568
212.8	62.103	-2973
211.73	52.265	-35
2.252	72.859	-2407
11.24	72.917	-3198
20.744	72.953	-3231
40.273	73.033	-3228
51.273	72.995	-3862
74.72	72.726	-2806
87.833	72.389	-2890
100.44	72.021	-1146
113.09	71.58	-890
212.57	61.986	-2477
235.18	57.486	-492
246.08	54.884	1098
256.79	52.026	2929
287.512	40.228	6540
73.515	63.242	-2049
41.044	-40.367	56
250.88	63.349	-1936
217.33	-39.931	1919
68.312	63.473	-2265
33.622	-39.477	1519
245.74	63.575	-2074
210.01	-39.125	1716
